0, 0, 
4652, 4653, 
9211, 9210, 
13583, 13583, 
17679, 17680, 
21418, 21417, 
24722, 24722, 
27525, 27524, 
29770, 29770, 
31413, 31413, 
32418, 32418, 
32767, 32767, 
32452, 32452, 
31478, 31479, 
29867, 29867, 
27651, 27651, 
24875, 24874, 
21594, 21594, 
17876, 17876, 
13795, 13795, 
9435, 9434, 
4884, 4884, 
234, 234, 
-4421, -4422, 
-8986, -8987, 
-13370, -13371, 
-17483, -17482, 
-21240, -21241, 
-24568, -24568, 
-27398, -27398, 
-29672, -29673, 
-31345, -31346, 
-32384, -32383, 
-32766, -32765, 
-32483, -32483, 
-31542, -31542, 
-29963, -29963, 
-27776, -27775, 
-25026, -25026, 
-21769, -21769, 
-18071, -18071, 
-14007, -14006, 
-9659, -9658, 
-5114, -5114, 
-466, -467, 
4190, 4190, 
8763, 8763, 
13157, 13157, 
17284, 17284, 
21062, 21063, 
24413, 24413, 
27269, 27268, 
29572, 29573, 
31277, 31277, 
32347, 32347, 
32762, 32762, 
32512, 32513, 
31605, 31605, 
30057, 30057, 
27898, 27899, 
25175, 25176, 
21943, 21943, 
18265, 18265, 
14217, 14217, 
9881, 9881, 
5345, 5345, 
700, 700, 
-3959, -3958, 
-8537, -8536, 
-12943, -12943, 
-17086, -17086, 
-20883, -20883, 
-24257, -24256, 
-27139, -27139, 
-29470, -29471, 
-31207, -31207, 
-32309, -32308, 
-32757, -32756, 
-32540, -32541, 
-31665, -31666, 
-30149, -30148, 
-28020, -28020, 
-25324, -25325, 
-22115, -22116, 
-18458, -18458, 
-14427, -14428, 
-10104, -10102, 
-5575, -5575, 
-934, -934, 
3727, 3727, 
8312, 8311, 
12728, 12728, 
16886, 16886, 
20702, 20702, 
24100, 24099, 
27008, 27008, 
29369, 29368, 
31135, 31135, 
32270, 32269, 
32750, 32750, 
32567, 32567, 
31725, 31725, 
30239, 30239, 
28141, 28140, 
25472, 25471, 
22287, 22288, 
18650, 18651, 
14636, 14637, 
10326, 10325, 
5805, 5805, 
